time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2022-01-03 08:00:00,0.0,0.0,2.7641702,58.042015,157.5211,0.23355803,1.1822692
2022-01-03 09:00:00,0.0,0.0,2.6804438,58.68528,157.01782,0.33708206,1.1817147
2022-01-03 10:00:00,0.0,0.0,2.286113,59.646416,156.29167,0.3892378,1.1904031
2022-01-03 11:00:00,0.0,0.0,2.4967499,60.636436,155.48279,0.39059925,1.1862291
2022-01-03 12:00:00,0.0,0.0,2.49231,61.631496,154.91225,0.35395688,1.1833196
2022-01-03 13:00:00,0.0,0.0,2.5598285,62.338394,154.7252,0.29475805,1.1775031
2022-01-03 14:00:00,0.0,0.0,2.790915,62.557713,155.7144,0.2205116,1.1947911
2022-01-03 15:00:00,0.0,0.0,3.1144483,62.34206,157.22601,0.14066721,1.2067975
2022-01-03 16:00:00,0.0,0.0,3.4486601,61.682777,158.94714,0.08984751,1.2239702
2022-01-03 17:00:00,0.0,0.0,3.718688,61.000046,161.24188,0.0565647,1.2517701
2022-01-03 18:00:00,0.0,0.0,3.820489,60.175373,162.52267,0.04461063,1.281478
2022-01-03 19:00:00,0.0,0.0,3.78186,59.533073,163.34549,0.041455425,1.294244
2022-01-03 20:00:00,0.0,0.0,3.6335213,59.259884,163.81537,0.03655463,1.3095757
2022-01-03 21:00:00,0.0,0.0,3.454684,59.088818,163.93515,0.03074348,1.2888904
2022-01-03 22:00:00,0.0,0.0,3.2656949,58.82686,163.55948,0.025475968,1.2572103
2022-01-03 23:00:00,0.0,0.0,3.0572264,58.71534,162.6987,0.02034053,1.2247791
2022-01-04 00:00:00,0.0,0.0,2.8382232,58.679573,161.73228,0.015426713,1.1965675
2022-01-04 01:00:00,0.0,0.0,2.6369376,58.684273,160.99603,0.0121042915,1.1743299
2022-01-04 02:00:00,0.0,0.0,2.5197332,58.681007,159.95921,0.01040332,1.1563495
2022-01-04 03:00:00,0.0,0.0,2.4288256,58.64857,159.59232,0.01002208,1.1517488
2022-01-04 04:00:00,0.0,0.0,2.4151142,58.58734,159.78925,0.014377865,1.1642015
2022-01-04 05:00:00,0.0,0.0,2.5185926,58.4372,160.34077,0.030769369,1.1949964
2022-01-04 06:00:00,0.0,0.0,2.7944553,58.20924,161.05879,0.0774131,1.227694
2022-01-04 07:00:00,0.0,0.0,3.04624,58.183777,161.4443,0.15322362,1.2642093
2022-01-04 08:00:00,0.0,0.0,3.1767366,58.45545,161.22844,0.25470915,1.2962458
2022-01-04 09:00:00,0.0,0.0,3.0708601,59.170315,160.30275,0.3508854,1.3105845
2022-01-04 10:00:00,0.0,0.0,2.9041483,60.2663,159.5174,0.3903487,1.3078467
2022-01-04 11:00:00,0.0,0.0,2.8143728,61.309498,158.63065,0.3844263,1.2996556
2022-01-04 12:00:00,0.0,0.0,2.8010223,62.30234,158.31262,0.34424406,1.2918321
2022-01-04 13:00:00,0.0,0.0,2.9118543,62.845795,158.41853,0.281844,1.283588
2022-01-04 14:00:00,0.0,0.0,3.120408,62.965843,159.26762,0.20267239,1.2865442
2022-01-04 15:00:00,0.0,0.0,3.393444,62.666027,160.54753,0.12962438,1.3052673
2022-01-04 16:00:00,0.0,0.0,3.650645,62.114307,162.42473,0.08687069,1.3160487
2022-01-04 17:00:00,0.0,0.0,3.8124208,61.59456,164.37572,0.06297425,1.3379321
2022-01-04 18:00:00,0.0,0.0,3.808892,61.172714,165.63535,0.055050034,1.3529866
2022-01-04 19:00:00,0.0,0.0,3.683418,60.9858,166.14099,0.048735872,1.3567195
2022-01-04 20:00:00,0.0,0.0,3.4916565,60.939938,165.985,0.042574257,1.3508345
2022-01-04 21:00:00,0.0,0.0,3.2617233,61.01657,165.65367,0.035634488,1.3271682
2022-01-04 22:00:00,0.0,0.0,3.0429885,61.092842,164.55507,0.028986556,1.291126
2022-01-04 23:00:00,0.0,0.0,2.8268154,61.138565,163.46242,0.023474101,1.259959
2022-01-05 00:00:00,0.0,0.0,2.6155012,61.178795,162.24179,0.018964892,1.2257549
2022-01-05 01:00:00,0.0,0.0,2.424575,61.1606,161.08272,0.014753858,1.196124
2022-01-05 02:00:00,0.0,0.0,2.302205,61.120937,160.28944,0.012977209,1.18209
2022-01-05 03:00:00,0.0,0.0,2.2151518,61.13219,159.8323,0.011990504,1.1765176
2022-01-05 04:00:00,0.0,0.0,2.2180192,61.016716,159.74673,0.014380695,1.1845176
2022-01-05 05:00:00,0.0,0.0,2.3312614,60.843727,160.04944,0.029439988,1.2109637
2022-01-05 06:00:00,0.0,0.0,2.5279229,60.588665,160.74107,0.07153728,1.2422256
2022-01-05 07:00:00,0.0,0.0,2.7826464,60.50707,160.58423,0.14053866,1.2635376
2022-01-05 08:00:00,0.0,0.0,2.8923328,60.653797,159.91368,0.21076475,1.2783433
2022-01-05 09:00:00,0.0,0.0,2.8150003,61.29426,159.12366,0.280282,1.2794542
2022-01-05 10:00:00,0.0,0.0,2.6401927,62.33755,158.16632,0.31628016,1.2668968
2022-01-05 11:00:00,0.0,0.0,2.529685,63.315605,156.9984,0.31717455,1.2495131
2022-01-05 12:00:00,0.0,0.0,2.4971735,64.17295,156.55696,0.286157,1.238727
2022-01-05 13:00:00,0.0,0.0,2.5515435,64.82334,156.47302,0.23451746,1.2216101
2022-01-05 14:00:00,0.0,0.0,2.750383,65.06753,157.15472,0.16218434,1.2163059
2022-01-05 15:00:00,0.0,0.0,3.015373,64.79599,158.33304,0.0894139,1.2163049
2022-01-05 16:00:00,0.0,0.0,3.2797866,64.07863,160.05458,0.050334793,1.209361
2022-01-05 17:00:00,0.0,0.0,3.4820578,63.29925,161.70029,0.034056958,1.2189325
2022-01-05 18:00:00,0.0,0.0,3.5745003,62.625965,162.60637,0.028930426,1.2265153
2022-01-05 19:00:00,0.0,0.0,3.5127714,62.203934,162.63196,0.026021415,1.2296942
2022-01-05 20:00:00,0.0,0.0,3.374112,61.948475,163.16481,0.021688761,1.2197795
2022-01-05 21:00:00,0.0,0.0,3.173078,61.856056,162.76996,0.01765209,1.1961346
2022-01-05 22:00:00,0.0,0.0,2.9815292,62.469604,161.9178,0.014174513,1.1684762
2022-01-05 23:00:00,0.0,0.0,2.7667658,61.74592,160.70518,0.011118394,1.1325485
2022-01-06 00:00:00,0.0,0.0,2.5736763,61.63022,159.78082,0.008560673,1.0992217
2022-01-06 01:00:00,0.0,0.0,2.3989973,61.54566,159.03873,0.0073900903,1.0678526
2022-01-06 02:00:00,0.0,0.0,2.2725143,61.54853,158.0494,0.007035132,1.042707
2022-01-06 03:00:00,0.0,0.0,2.193075,61.580906,157.41702,0.007271716,1.0328383
2022-01-06 04:00:00,0.0,0.0,2.2187572,61.417328,157.49037,0.010619001,1.033245
2022-01-06 05:00:00,0.0,0.0,2.3377259,61.16212,158.39409,0.027082006,1.053607
2022-01-06 06:00:00,0.0,0.0,2.565428,60.82198,159.21727,0.07528,1.0811901
2022-01-06 07:00:00,0.0,0.0,2.8180742,60.67236,159.60478,0.15063429,1.1044716
2022-01-06 08:00:00,0.0,0.0,2.9691474,60.809204,159.18443,0.23556645,1.1180637
2022-01-06 09:00:00,0.0,0.0,2.915184,61.45536,158.35591,0.3497996,1.1211567
2022-01-06 10:00:00,0.0,0.0,2.6570604,62.672558,157.2984,0.40676212,1.1211227
2022-01-06 11:00:00,0.0,0.0,2.5188322,63.738934,156.29092,0.38576058,1.1144654
2022-01-06 12:00:00,0.0,0.0,2.4416575,64.675285,155.76892,0.33521163,1.1077259
2022-01-06 13:00:00,0.0,0.0,2.4742866,65.38501,155.72775,0.26750517,1.0951552
2022-01-06 14:00:00,0.0,0.0,2.6593623,65.57215,156.31412,0.17972152,1.0973603
2022-01-06 15:00:00,0.0,0.0,2.946402,65.31364,157.99432,0.09808921,1.1054525
2022-01-06 16:00:00,0.0,0.0,3.2594378,64.546585,160.34116,0.05563083,1.1025449
2022-01-06 17:00:00,0.0,0.0,3.5618732,63.604122,162.6592,0.04032618,1.1137259
2022-01-06 18:00:00,0.0,0.0,3.7006297,62.91321,164.30318,0.034690894,1.132816
2022-01-06 19:00:00,0.0,0.0,3.3667881,62.397797,165.36264,0.031119287,1.1365496
2022-01-06 20:00:00,0.0,0.0,3.5343935,62.086464,165.65321,0.027744826,1.14078
2022-01-06 21:00:00,0.0,0.0,3.3526664,61.932182,165.92128,0.023788253,1.1264961
2022-01-06 22:00:00,0.0,0.0,3.1608272,61.900352,165.43892,0.018942302,1.100809
2022-01-06 23:00:00,0.0,0.0,2.9215658,61.898293,164.35301,0.014036262,1.0706347
2022-01-07 00:00:00,0.0,0.0,2.70725,61.873585,163.22607,0.010917638,1.0429696
2022-01-07 01:00:00,0.0,0.0,2.5204597,61.86532,162.07144,0.008536484,1.032121
2022-01-07 02:00:00,0.0,0.0,2.423328,61.861954,161.42892,0.007783313,1.0337962
2022-01-07 03:00:00,0.0,0.0,2.3365018,61.87513,160.9336,0.0076939007,1.0431317
2022-01-07 04:00:00,0.0,0.0,2.3293576,61.827,160.48297,0.010246629,1.0669708
2022-01-07 05:00:00,0.0,0.0,2.430783,61.66957,160.96129,0.02419958,1.098779
2022-01-07 06:00:00,0.0,0.0,2.644828,61.476925,161.81046,0.068011336,1.1359034
2022-01-07 07:00:00,0.0,0.0,2.8949034,61.4837,162.14081,0.1450814,1.1745237
2022-01-07 08:00:00,0.0,0.0,2.9846544,61.91002,161.4595,0.2501208,1.2018868
2022-01-07 09:00:00,0.0,0.0,2.8150337,62.78347,159.85303,0.3536493,1.2112659
2022-01-07 10:00:00,0.0,0.0,2.587857,64.058105,158.44937,0.39458582,1.2025343
2022-01-07 11:00:00,0.0,0.0,2.4463854,65.22081,157.52357,0.3849493,1.1942372
2022-01-07 12:00:00,0.0,0.0,2.431502,66.22397,156.85837,0.33877796,1.1893373
2022-01-07 13:00:00,0.0,0.0,2.51956,66.86632,156.97256,0.27126265,1.181352
2022-01-07 14:00:00,0.0,0.0,2.7394154,67.14258,157.93753,0.18440029,1.1924257
2022-01-07 15:00:00,0.0,0.0,3.0554981,66.88337,159.53673,0.099373594,1.2170073
2022-01-07 16:00:00,0.0,0.0,3.4083722,66.17576,161.67397,0.053087357,1.2296642
2022-01-07 17:00:00,0.0,0.0,3.6720073,65.43986,164.25534,0.03421021,1.2543968
2022-01-07 18:00:00,0.0,0.0,3.7659714,64.74362,166.3429,0.029040372,1.2839345
2022-01-07 19:00:00,0.0,0.0,3.7252924,64.23676,167.7098,0.027823405,1.3056306
2022-01-07 20:00:00,0.0,0.0,3.5929663,63.98834,168.3959,0.026539195,1.3183335
2022-01-07 21:00:00,0.0,0.0,3.4227254,63.837128,168.64471,0.024473742,1.3147058
2022-01-07 22:00:00,0.0,0.0,3.2375562,63.733906,168.1047,0.021259107,1.294926
2022-01-07 23:00:00,0.0,0.0,3.0470917,63.620087,167.28836,0.017979411,1.2676454
2022-01-08 00:00:00,0.0,0.0,2.8607004,63.49228,166.52287,0.015265167,1.2478714
2022-01-08 01:00:00,0.0,0.0,2.7058241,63.322838,166.00159,0.013118002,1.2311647
2022-01-08 02:00:00,0.0,0.0,2.561941,63.175972,165.50081,0.011695143,1.2236805
2022-01-08 03:00:00,0.0,0.0,2.459828,63.138073,164.61037,0.0110561075,1.2159802
2022-01-08 04:00:00,0.0,0.0,2.4172091,62.952423,164.90501,0.01160903,1.2409686
2022-01-08 05:00:00,0.0,0.0,2.45575,62.87533,164.96324,0.02176163,1.2689847
2022-01-08 06:00:00,0.0,0.0,2.514568,62.731632,165.61511,0.05748274,1.2968789
2022-01-08 07:00:00,0.0,0.0,2.5968156,62.776035,165.6932,0.11795208,1.3332776
2022-01-08 08:00:00,0.0,0.0,2.634247,63.187366,165.66139,0.20285806,1.3642236
2022-01-08 09:00:00,0.0,0.0,2.5864341,63.83028,165.22803,0.29785228,1.3829741
2022-01-08 10:00:00,0.0,0.0,2.4898794,64.83948,164.05054,0.35125694,1.3923231
2022-01-08 11:00:00,0.0,0.0,2.450443,65.79199,163.33324,0.3528962,1.3825057
2022-01-08 12:00:00,0.0,0.0,2.4720964,66.579575,162.4877,0.31576523,1.369538
2022-01-08 13:00:00,0.0,0.0,2.5679047,67.17551,162.35251,0.25372145,1.3589777
2022-01-08 14:00:00,0.0,0.0,2.7531662,67.366554,163.54657,0.1723165,1.3637059
2022-01-08 15:00:00,0.0,0.0,2.9555004,67.227905,164.78801,0.09180384,1.3774227
2022-01-08 16:00:00,0.0,0.0,3.164838,66.76179,166.51888,0.04610082,1.3868191
2022-01-08 17:00:00,0.0,0.0,3.3630786,66.18807,169.24968,0.029904878,1.4134105
2022-01-08 18:00:00,0.0,0.0,3.4568536,65.46964,170.66371,0.026225142,1.453219
2022-01-08 19:00:00,0.0,0.0,3.4420807,64.8648,172.37115,0.028483195,1.4715286
2022-01-08 20:00:00,0.0,0.0,3.3312898,64.49543,172.88719,0.029794281,1.4869908
2022-01-08 21:00:00,0.0,0.0,3.2037766,64.24068,173.07767,0.028597217,1.4596283
2022-01-08 22:00:00,0.0,0.0,3.0484762,64.09618,172.25983,0.025402162,1.4344833
2022-01-08 23:00:00,0.0,0.0,2.8889909,63.915047,171.314,0.02053512,1.4124002
2022-01-09 00:00:00,0.0,0.0,2.711655,63.665714,170.07463,0.016741762,1.3793337
2022-01-09 01:00:00,0.0,0.0,2.564468,63.521782,169.17058,0.01410654,1.3409541
2022-01-09 02:00:00,0.0,0.0,2.4330533,63.289852,168.57298,0.011397629,1.314817
2022-01-09 03:00:00,0.0,0.0,2.3225048,63.16344,167.23453,0.009759415,1.3007663
2022-01-09 04:00:00,0.0,0.0,2.263595,63.027767,166.67462,0.010583186,1.2942259
2022-01-09 05:00:00,0.0,0.0,2.2627282,62.865723,166.87851,0.020670341,1.308744
2022-01-09 06:00:00,0.0,0.0,2.282779,62.71579,166.77037,0.05158352,1.3261867
2022-01-09 07:00:00,0.0,0.0,2.318405,62.69461,166.72427,0.09491053,1.3593373
2022-01-09 08:00:00,0.0,0.0,2.3091242,62.78975,166.04556,0.16842023,1.369262
2022-01-09 09:00:00,0.0,0.0,2.280888,63.15775,164.97829,0.24402554,1.3642576
2022-01-09 10:00:00,0.0,0.0,2.2569501,63.91628,163.826,0.28954697,1.3693261
2022-01-09 11:00:00,0.0,0.0,2.2420456,64.72511,162.91612,0.2964809,1.354709
2022-01-09 12:00:00,0.0,0.0,2.2776818,65.30805,162.39395,0.27200198,1.337804
2022-01-09 13:00:00,0.0,0.0,2.370094,65.7432,162.11942,0.22485024,1.3113186
2022-01-09 14:00:00,0.0,0.0,2.5539258,65.7218,163.31082,0.15438385,1.3069086
2022-01-09 15:00:00,0.0,0.0,2.8085437,65.32392,164.77925,0.0801388,1.3048569
2022-01-09 16:00:00,0.0,0.0,3.08786,64.50419,166.76747,0.044000722,1.3064145
2022-01-09 17:00:00,0.0,0.0,3.3425868,63.60486,169.4808,0.029914059,1.3042215
2022-01-09 18:00:00,0.0,0.0,3.4868026,62.888264,171.67963,0.025812378,1.3069417
2022-01-09 19:00:00,0.0,0.0,3.531655,62.24782,173.43204,0.025575764,1.304015
