time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
1/2/2022 15:00,0,0,2.6700864,61.91574,154.09798,0.115218244,1.2006202
1/2/2022 16:00,0,0,2.908428,61.227257,156.22578,0.060397368,1.1982898
1/2/2022 17:00,0,0,3.1298018,60.43445,158.25795,0.034837384,1.2065827
1/2/2022 18:00,0,0,3.2580595,59.617992,159.72646,0.027732378,1.2105707
1/2/2022 19:00,0,0,3.2460868,58.97748,160.08882,0.027239252,1.2000649
1/2/2022 20:00,0,0,3.1669333,58.623634,160.21869,0.026586384,1.1903131
1/2/2022 21:00,0,0,3.034465,58.384117,159.84612,0.023818681,1.1667761
1/2/2022 22:00,0,0,2.6232798,58.29814,159.82407,0.020225398,1.1449575
1/2/2022 23:00,0,0,2.6894443,58.31383,158.53354,0.016786883,1.1201895
1/3/2022 0:00,0,0,2.532968,58.211266,159.41962,0.013255266,1.0967087
1/3/2022 1:00,0,0,2.3723252,58.21149,159.12251,0.010659617,1.0796843
1/3/2022 2:00,0,0,2.2545924,58.171055,158.5459,0.009373656,1.0700977
1/3/2022 3:00,0,0,2.8595121800000003,58.16394,158.1444,0.009229263,1.0669563
1/3/2022 4:00,0,0,2.1474314,58.201477,157.84207,0.012128256,1.0906035
1/3/2022 5:00,0,0,2.2625682,58.06029,157.81285,0.024843913,1.1177784
1/3/2022 6:00,0,0,2.485098,57.854687,158.08324,0.06618847,1.1526493
1/3/2022 7:00,0,0,2.6870441,57.820747,158.41237,0.13802008,1.1669922
1/3/2022 8:00,0,0,2.7641702,58.042015,157.5211,0.23355803,1.1822692
1/3/2022 9:00,0,0,2.6804438,58.68528,157.01782,0.33708206,1.1817147
1/3/2022 10:00,0,0,2.286113,59.646416,156.29167,0.3892378,1.1904031
1/3/2022 11:00,0,0,2.4967499,60.636436,155.48279,0.39059925,1.1862291
1/3/2022 12:00,0,0,2.49231,61.631496,154.91225,0.35395688,1.1833196
1/3/2022 13:00,0,0,2.5598285,62.338394,154.7252,0.29475805,1.1775031
1/3/2022 14:00,0,0,2.790915,62.557713,155.7144,0.2205116,1.1947911
1/3/2022 15:00,0,0,3.1144483,62.34206,157.22601,0.14066721,1.2067975
1/3/2022 16:00,0,0,3.4486601,61.682777,158.94714,0.08984751,1.2239702
